English,Произношение,Слово,Русский
I speak Hebrew,ANI MEDABER IVRIT,אני מדבר עברית,Я говорю на иврите
two years,SHNATAYIM,שנתיים,два года
With whom do you live there?,IM MI AT GARA SHAM,עם מי את גרה שם?,С кем ты живешь там?
With who?,IM MI,עם מי?,С кем?
With,IM BAALI,עם בעלי,С участием
where were you born?,EFO NOLADET,איפה נולדת?,откуда ты родом?
Where did you grow up in Russia?,EFO GADALT BE RUSIYA,איפה גדלת ברוסיה?,Где вы росли в России?
We build sites,ANAKHNU BONIM ATARIM,אנחנו בונים אתרים,Мы строим сайты
Do you like your job?,AT OHEVET ET HA AVODA SHELAKH,את אוהבת את העבודה שלך?,Тебе нравится твоя работа?
what is your occupation?,MA HA MIKTSOA SHELAKH,מה המקצוע שלך?,кем работаете?
I'm a programmer sites,ANI METAKHNETET ATARIM,אני מתכנתת אתרים,Я программист сайтов
How long did you learn that?,KAMA ZMAN LAMADET ET ZE,כמה זמן למדת את זה?,"Как долго вы узнали, что?"
Eight months,SHMONA KHODASHIM,שמונה חודשים,Восемь месяцев
now,AKHSHAV,עכשיו,сейчас
Ask me questions,TSH-ALI OTI SHEELOT,תשאלי אותי שאלות,Спроси меня
Familiarity,HEKERUT,היכרות,фамильярность
Let's get to know,BOI NAKIR,בואי נכיר,Давайте знать
What is your name?,MA SHIMKHA,מה שמך?,Как тебя зовут?
my name is David,SHMI DAVID,שמי דוד,меня зовут Дэвид
How old are you?,BEN KAMA ATA,בן כמה אתה?,Сколько тебе лет?
I'm 28 years old,ANI BEN 28,אני בן 28,Мне 28 лет
How old are you?,BAT KAMA AT,בת כמה את?,Сколько тебе лет?
I am 33 years old,ANI BAT 33,אני בת 33,Мне 33 года
What are you doing in life?,MA ATA OSE BA KHAIM,מה אתה עושה בחיים?,Чем ты занимаешься в жизни?
Working at Ben Gurion Airport,OVED BE NATBAG,"עובד בנתב""ג",Работа в аэропорту Бен-Гурион
Ben Gurion Airport - Ben Gurion Airport,NAMAL TEUFA BEN GURION,"נתב""ג - נמל תעופה בן גוריון",Аэропорт Бен-Гурион - Аэропорт Бен Гурион
Acronyms,RASHEY TEVOT,ראשי תיבות,Сокращения
A bit far,KTSAT RAKHOK,קצת רחוק,Далековато
Now I live a little far from the beach,AKHSHAV ANI GAR KTSAT RAKHOK ME HA YAM,עכשיו אני גר קצת רחוק מהים,Сейчас я живу немного далеко от пляжа
I was 4 years old Ukrainian company,HAYTA LI KHAVERA UKRAINIT 4 SHANIM,הייתה לי חברה אוקראינית 4 שנים,Мне было 4 года украинская компания
economy,KALKALA,כלכלה,#VALUE!
Business Administration,MINHAL ASAKIM,מנהל עסקים,Управление бизнесом
To military,AD HA TSAVA,עד הצבא,до армии
Army,TSAVA,צבא,армия
I was traveling to Russia every year,HAITI NOSEA LE RUSIYA KOL SHANA,הייתי נוסע לרוסיה כל שנה,каждый год я ехал в Россию
Now there so long,AKHSHAV EN KOL KAKH ZMAN,עכשיו אין כל כך זמן,Сейчас там так долго
Leo,MAZAL ARYE,מזל אריה,Лео
The last time you visited Russia?,MATAY BA PAAM HA AKHARONA BIKRATA BE RUSIYA,מתי בפעם האחרונה ביקרת ברוסיה?,"В последний раз, когда вы посетили Россию?"
a year and a half,SHANA VA KHETSI,שנה וחצי,"в год, а полтора"
What cities were in Russia?,BE ELU ARIM HAITA BE RUSIYA,באילו ערים היית ברוסיה?,Какие города были в России?
a tour,TIYUL,טיול,тур
Which countries have you visited?,BE ELU MEDINOT BIKARTA,באילו מדינות ביקרת?,Какие страны ты уже посетил?
France,TSARFAT,צרפת,Франция
Cyprus,KAFRISIN,קפריסין,Кипр
I love Europe,ANI OHEVET ET EROPA,אני אוהבת את אירופה,Я люблю Европу
Spain,SFARAD,ספרד,Испания
Which languages ​​do you speak?,ELU SAFOT ATA MEDABER,אילו שפות אתה מדבר?,Какие языки вы говорите?
Many times,HARBE PEAMIM,הרבה פעמים,Много раз
culture,TARBUT,תרבות,культура
language,SAFA,שפה,язык
nature,TEVA,טבע,природа
Prices,MEKHIRIM,מחירים,Цены
Nice,NEKHMAD,נחמד,Ницца
You could say,EFSHAR LEHAGID,אפשר להגיד,можно сказать
Cool,SABABA,סבבה,прохладно
They say,OMRIM,אומרים,Они говорят
How to say in Hebrew ....,EKH OMRIM BE IVRIT ....,איך אומרים בעברית ....,Как сказать на иврите ....
Boring,MESHAAMEM,משעמם,Бурильные
I forgot,SHAKHATI,שכחתי,Я забыл
I cleaned the apartment,NIKITI ET HA DIRA,ניקיתי את הדירה,Я убирала квартиру
